Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,88,4,18 VESEY STREET,10007,1556550,4,M3,2017,Nonfiler,981615,198610,40.711815,-74.009505,101,1,21,1001234,1000880004,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,92,23,35 ANN STREET,10038,294300,4,K2,2017,Nonfiler,982260,198126,40.710487,-74.007178,101,1,1501,1001273,1000920023,Battery Park City-Lower Manhattan
Manhattan,92,26,118 NASSAU STREET,10038,666900,4,K4,2017,Nonfiler,982321,198266,40.710871,-74.006958,101,1,1501,1001274,1000920026,Battery Park City-Lower Manhattan
Manhattan,93,24,164 WILLIAM STREET,10038,565650,4,K4,2017,Nonfiler,982655,198034,40.710234,-74.005753,101,1,1501,1001282,1000930024,Battery Park City-Lower Manhattan
Manhattan,100,1203,8 SPRUCE STREET  #NYDH,10038,2284650,4,RB,2017,Nonfiler,982705,198461,40.711407,-74.005573,101,1,1501,1087485,1001007502,Battery Park City-Lower Manhattan
Manhattan,107,26,259 FRONT STREET,10038,905400,4,L9,2017,Nonfiler,984077,197319,40.708272,-74.000624,101,1,1501,1079138,1001070026,Battery Park City-Lower Manhattan
Manhattan,107,38,29 PECK SLIP,10038,6465795,4,HB,2017,Nonfiler,983777,197206,40.707962,-74.001706,101,1,1501,1082022,1001070038,Battery Park City-Lower Manhattan
Manhattan,107,40,25 PECK SLIP,10038,708468,2A,S9,2017,Nonfiler,983754,197239,40.708053,-74.001789,101,1,1501,1078990,1001070040,Battery Park City-Lower Manhattan
Manhattan,107,51,279 WATER STREET,10038,572850,4,K4,2017,Nonfiler,983955,197467,40.708678,-74.001064,101,1,1501,1082487,1001070051,Battery Park City-Lower Manhattan
Manhattan,133,7,45 MURRAY STREET,10007,1094850,4,K4,2017,Nonfiler,981649,199426,40.714055,-74.009382,101,1,21,1001435,1001330007,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,133,1202,49 MURRAY STREET  #2,10007,121553,2C,R8,2017,Nonfiler,981615,199446,40.71411,-74.009505,101,1,21,1001437,1001337503,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,133,1502,49 WARREN STREET  #1F,10007,93144,4,RK,2017,Nonfiler,981753,199637,40.714634,-74.009007,101,1,21,1079150,1001337506,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,11,33 WARREN STREET,10007,3757050,2,D6,2017,Nonfiler,982009,199483,40.714212,-74.008084,101,1,21,1001453,1001340011,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,134,1401,25 MURRAY STREET  #COM 1,10007,341750,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1402,25 MURRAY STREET  #COM 2,10007,140254,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1403,25 MURRAY STREET  #COM 3,10007,146680,4,RK,2017,Nonfiler,,,,,,,,,,
Manhattan,134,1404,25 MURRAY STREET  #COM 4,10007,158022,4,RK,2017,Nonfiler,,,,,,,,,,
